id,last,first,bat,throw,team,g,g_p,g_sp,g_rp,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,first_g,last_g,season
willj109,Williams,Joe,R,R,NYL,11,11,7,4,0,0,0,0,0,0,0,1,1,0,1,0,19130718,19130812,1913
allet101,Allen,Todd,R,R,IN4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19150509,19150509,1915
barru102,Barry,,?,?,CG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915
bookp101,Booker,Pete,R,R,CG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915
brazc101,Brazelton,Clarkson,?,R,CG1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19150509,19150509,1915
brigo101,Briggs,Otto,L,R,IN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915
buckh101,Buckner,Harry,R,R,CG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915
charo101,Charleston,Oscar,L,L,IN4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,19150509,19150509,1915
clarm103,Clark,Morten,L,R,IN4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19150509,19150509,1915
davij108,Davis,Johnny,R,R,CG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915
demob102,DeMoss,Bingo,R,R,IN4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19150509,19150509,1915
dismd101,Dismukes,Dizzy,R,R,IN4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19150509,19150509,1915
dixos102,Dixon,Steven,?,R,CG1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19150509,19150509,1915
dougc102,Dougherty,Charles,L,L,CG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915
fordb101,Ford,Bill,?,?,CG1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19150509,19150509,1915
gordw101,Gordon,Wallace,?,R,IN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915
greej106,Green,Joe,R,R,CG1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,19150509,19150509,1915
greew101,Green,Willie,?,R,CG1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19150509,19150509,1915
hutcf102,Hutchinson,Fred,?,R,IN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915
jackg104,Jackson,Guy,?,R,CG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915
jeffj102,Jeffries,Jim,L,L,IN4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,19150509,19150509,1915
jennt101,Jennings,Thurman,?,R,CG1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19150509,19150509,1915
johnd108,Johnson,Dicta,R,R,IN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915
johnt105,Johnson,Tom,R,R,IN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915
kennd102,Kennard,Dan,R,R,IN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915
klisu101,Klise,,?,?,CG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915
patea101,Pate,Archie,?,?,CG1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,19150509,19150509,1915
power102,Powell,Russell,?,R,IN4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19150509,19150509,1915
shivg101,Shively,George,L,L,IN4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,19150509,19150509,1915
stros103,Strothers,Sam,?,?,CG1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19150509,19150509,1915
taylb108,Taylor,Ben,L,L,IN4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19150509,19150509,1915
taylc104,Taylor,C.I.,R,R,IN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915
tonea101,Toney,Albert,?,R,CG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915
warff101,Warfield,Frank,R,R,IN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915
